,,,,,,,
配布元：GitHub公開リポジトリ限定／X高エンゲージメント投稿ベース／カテゴリ順に整理,,,,,,,
No,カテゴリ,スキル名,,概要,ビジネス実用性,わかりやすく,GitHub URL
76,E,Senior Architect Skill,,シニアアーキテクト視点でスケーラブルなシステム設計を提案し、トレードオフを明示（alirezarezvani Engineering-Team）。,システム設計フェーズを高速化し、将来的な拡張性・メンテナンス性を確保。,システム設計フェーズを高速化し、将来的な拡張性・メンテナンス性を確保の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering-team/senior-architect
77,E,Andrej Karpathy Skills,,Karpathy式LLMコーディング原則（Think Before Coding、Simplicity Firstなど）をSKILL.mdに凝縮。,LLMプロジェクトの過剰実装やミスを防止。エンジニアリング品質を標準化。,LLMプロジェクトの過剰実装やミスを防止の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/forrestchang/andrej-karpathy-skills/tree/main/skills/karpathy-guidelines
78,E,Claude Mem (Persistent Memory),,セッション履歴を自動キャプチャ・AI圧縮・関連コンテキスト自動注入。mem-search/timeline対応。,長期プロジェクトの文脈喪失をゼロ化。再説明工数を削減し、ハンドオフを効率化。,長期プロジェクトの文脈喪失をゼロ化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/thedotmack/claude-mem/tree/main/plugin/skills/mem-search
79,E,Claude Code Best Practice Skills,,context fork・subagent・/planモード・hooksをSKILL.md形式で収録した包括的スキル集。,開発ワークフローをagentic engineering化し、レビュー・並行開発・コンテキスト管理を自動化。,開発ワークフローをagentic engineering化し、レビュー・並行開発・コンテキスト管理を自動化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/shanraisshan/claude-code-best-practice/tree/main/.claude/skills/weather-fetcher
80,E,Professional Claude Skills Marketplace,,48個のproduction-readyスキル（開発・ドキュメント・分析など）をマーケットプレイス形式で一括提供。skill-creator/SKILL.mdで自作も可能。,自社特化スキルを即時導入可能にし、業務プロセスをモジュール化。複数部門でのAI活用を標準化・加速。,コードから技術資料やマニュアルを自動で作成し、ドキュメント作成に費やす時間を大幅に削るために使う。,https://github.com/daymade/claude-code-skills/tree/main/deep-research
81,E,Comprehensive Claude Skills Library (235+),,9ドメイン・235個以上のSKILL.mdパッケージ。Pythonツール・エージェント・slashを内包。,ほぼ全ての実務シーンをカバー。1回のインストールで即戦力化。,ほぼ全ての実務シーンをカバーの作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills  ⭐12k
82,E,CI/CD Pipeline Builder Skill,,技術スタック分析からGitHub Actions/GitLab CIパイプラインを自動生成・最適化。,DevOps環境構築を即時化。デプロイ頻度向上と運用負荷低減を実現。,GitHubのリポジトリ情報を解析して、コードの修正や新機能の実装をAIに相談しながら進めるために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/ci-cd-pipeline-builder
83,E,Tech Debt Tracker Skill,,コードベースをスキャンし技術的負債を検出・優先順位付け・改善計画を生成。,リファクタ計画をデータ駆動で立案。長期メンテコストを削減。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/tech-debt-tracker
84,E,RAG Architecture Designer Skill,,RAGパイプラインの設計・チャンク戦略・評価・最適化を専門ワークフローで支援。,自社ナレッジ・社内検索の精度を飛躍的に向上。AI検索業務の品質確保。,自社ナレッジ・社内検索の精度を飛躍的に向上の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/rag-architect
85,E,Database Designer & Migration Skill,,ERD生成・スキーマ最適化・マイグレーションSQL自動作成・パフォーマンス診断。,データ基盤構築・改修を高速化。システム拡張時の整合性と速度を担保。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/database-designer
86,E,Codebase Onboarding Skill,,新規メンバーのためにコードベース全体を要約・重要ファイル抽出・質問応答を自動化。,新人エンジニアのオンボーディング期間を大幅短縮。チーム拡大時の生産性低下を防止。,新人エンジニアのオンボーディング期間を大幅短縮を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/codebase-onboarding
87,E,Self-Improving Agent Skill,,エージェント自身の振返り・改善提案・スキル自動更新を実行。,AIエージェントを継続的に進化させ、業務適応力を高める。長期運用コストを低減。,AIエージェントを継続的に進化させ、業務適応力を高めるの作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering-team/self-improving-agent
88,E,Skill Creator & Validator Skill,,新規SKILL.mdの作成・ベストプラクティス検証・テスト実行をガイド。,自社独自業務を即座にスキル化。組織独自のAIナレッジを蓄積・再利用。,プログラムのテストコードを自動生成し、動作確認の漏れをなくしてシステムの品質を保つために使う。,https://github.com/daymade/claude-code-skills/tree/main/skill-creator
89,E,Everything Claude Code Master Skill,,136以上のスキル・60 slash commands・30エージェントを統合したオールインワンパッケージ。,Claude Codeの全機能を即座に最大活用。開発から業務自動化までを1リポジトリでカバーし、導入障壁をゼロ化。,Claude Codeの全機能を即座に最大活用を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/affaan-m/everything-claude-code  ⭐162k
90,E,Generic Self-Evolving Agent Skill,,タスク結果を振返り、スキルツリーを自動拡張・最適化する自己進化フレームワーク。,AIエージェントの長期運用で手動チューニングを不要に。組織のAI成熟度を継続的に高める。,AIエージェントの長期運用で手動チューニングを不要にの作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/agent-designer
91,E,om-claude-code-skills-agents Pack,,実務特化のスキル・エージェントをバンドルしたパーソナル/チーム用スキルセット。,個人・小規模チームが即戦力AI環境を構築。カスタム業務フローを短期間でAI化可能。,個人・小規模チームが即戦力AI環境を構築の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/omiossec/om-claude-code-skills-agents
92,E,Repomix Codebase Context,,大規模コードベース全体を1ファイルに圧縮・構造化し、Claudeに最適なコンテキストを提供（OSS、18k+ stars）。,レガシー移行や大規模リファクタ時の文脈理解を劇的改善。開発生産性をスケール。,レガシー移行や大規模リファクタ時の文脈理解を劇的改善の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/yamadashy/repomix
93,E,Claude Squad Multi-Agent Orchestrator Skill,,複数Claudeエージェントを同時並行で統括し、タスク分配・結果統合を自動実行。,市場調査＋提案書作成などを並列処理。チーム規模の業務を1人で完結。,市場調査＋提案書作成などを並列処理の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/agent-workflow-designer
94,E,Skill Share Skill,,Claudeスキルを組織内で共有・配布するためのインフラ的スキル（ComposioHQ内に実在）。,社内AIナレッジを組織全体で共有。スキル再利用と活用の標準化を促進。,社内AIナレッジを組織全体で共有の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/skill-share
95,E,Claude Code Best Practice Orchestrator Skill,,生産性コマンド・サブエージェント・メモリ・フックを統合した運用ガイド付きスキルパック。,Claude Codeの使いこなしを体系化。初心者〜上級者まで即戦力化。チーム生産性を10倍化。,Claude Codeの使いこなしを体系化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/shanraisshan/claude-code-best-practice/tree/main/.claude/skills/presentation
96,E,Claude Mem Persistent Memory Skill (Advanced),,長期記憶圧縮・自動注入・タイムライン検索を強化した最新版メモリスキル。,数ヶ月単位のプロジェクトで文脈を完全保持。再作業を根絶し、長期効率を最大化。,数ヶ月単位のプロジェクトで文脈を完全保持の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/thedotmack/claude-mem/tree/main/plugin/skills/knowledge-agent
97,E,Skill Tester Skill,,スキルの包括的検証・テスト・品質スコアリングを実行するメタスキル（alirezarezvani Engineering-POWERFUL Tier）。,スキル品質ゲートを自動化。自作スキルの信頼性を担保し、本番運用を安全化。,プログラムのテストコードを自動生成し、動作確認の漏れをなくしてシステムの品質を保つために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/skill-tester
  ■ その他（SNS・画像等）  （3件）,,,,,,,
98,X,Video Downloader Skill,,YouTube等から動画をオフライン保存・編集用形式で自動ダウンロード。,コンテンツチームの動画アーカイブ・再利用を効率化。研修素材収集を即時対応。,コンテンツチームの動画アーカイブ・再利用を効率化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/video-downloader
99,X,Slack GIF Creator Skill,,Slack最適化GIFをバリデーション付きで自動生成・アニメーション作成。,社内コミュニケーションの視覚効果を向上。チームコラボレーションのエンゲージメントを低コストで高める。,社内コミュニケーションの視覚効果を向上の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/slack-gif-creator
100,X,Raffle Winner Picker Skill,,リスト・スプレッドシートから暗号学的に安全なランダム抽選を実行。,マーケキャンペーン・社内コンテストの公平抽選を自動化。運用工数ゼロ化。,プログラムのテストコードを自動生成し、動作確認の漏れをなくしてシステムの品質を保つために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/raffle-winner-picker
